POPULATION,PLOT #,TREE TAG,SPECIES,INDIVIDUAL,T-0 (2010-10-16),T-1 (2010-11-20),T-2 (2010-12-11),T-3 (2011-01-22),T-4 (2011-02-18),T-5 (2011-03-05),T-6 (2011-04-16),T-7 (2011-05-07),T-8 (2011-06-01),T-9 (2011-07-31),T-10 (2011-08-25),T-11 (2011-09-17),T-12 (2011-10-15),T-13 (2011-11-17),T-14 (2011-12-10),T-15 (2012-01-18),T-16 (2012-02-18),T-17 (2012-03-18),T-18 (2012-04-15),T-19 (2012-05-15),T-20 (2012-06-15),T-21 (2012-07-15),T-22 (2012-08-25),T-23 (2012-09-15),T-24 (2012-10-15)
2,2,101,Lepanthes caritensis,138,Adult,Adult,Adult,Reproductive,Reproductive,Reproductive,Adult,Reproductive,Reproductive,Adult,Adult,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Reproductive,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,139,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Reproductive,Adult,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Reproductive,Reproductive,Adult,Adult,Reproductive
2,2,101,Lepanthes caritensis,140,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Reproductive,Adult,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,141,Juvenile,Reproductive,Reproductive,Adult,Adult,Adult,Reproductive,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,142,Reproductive,Reproductive,Adult,Reproductive,Adult,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,143,Reproductive,Adult,Adult,Adult,Adult,Adult,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,144,Juvenile,Reproductive,Adult,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,145,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,146,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Reproductive,Adult,Adult,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,147,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
2,2,101,Lepanthes caritensis,148,Seedling,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,149,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling
2,2,101,Lepanthes caritensis,150,Adult,Adult,Adult,Adult,Adult,Reproductive,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Reproductive,Reproductive,Reproductive,Reproductive,Adult,Adult,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,151,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,152,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,153,Adult,Adult,Reproductive,Adult,Adult,Adult,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,154,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,155,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,156,Reproductive,Adult,Adult,Reproductive,Adult,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Adult,Reproductive,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,157,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,158,Reproductive,Adult,Adult,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive,Adult,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive,Adult,Adult,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,159,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Reproductive,Adult,Adult,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,160,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,161,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,162,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Adult
2,2,101,Lepanthes caritensis,163,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
2,2,101,Lepanthes caritensis,164,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,165,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,166,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,167,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Reproductive,Adult,Reproductive,Adult,Adult
2,2,101,Lepanthes caritensis,168,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,169,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,170,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,171,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,172,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,173,Adult,Adult,Adult,Reproductive,Adult,Adult,Adult,Reproductive,Reproductive,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,174,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,175,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,176,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,177,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,178,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,179,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,180,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,181,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling
2,2,101,Lepanthes caritensis,182,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling
2,2,101,Lepanthes caritensis,183,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,184,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,185,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Dead,Dead
2,2,101,Lepanthes caritensis,186,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
2,2,101,Lepanthes caritensis,187,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,188,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,189,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,190,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,191,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,192,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
2,2,101,Lepanthes caritensis,193,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,194,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
2,2,101,Lepanthes caritensis,195,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,196,0,Seedling,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,197,0,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,198,0,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,199,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,1100,0,0,0,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,1101,0,0,0,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
2,2,101,Lepanthes caritensis,1102,0,0,0,0,0,Seedling,Juvenile,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,1103,0,0,0,0,0,0,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,1104,0,0,0,0,0,0,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Reproductive,Reproductive,Reproductive,Adult,Reproductive,Adult,Adult,Adult,Reproductive,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,1105,0,0,0,0,0,0,0,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Reproductive,Reproductive,Adult,Adult,Adult,Reproductive,Adult
2,2,101,Lepanthes caritensis,1106,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
2,2,101,Lepanthes caritensis,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling
2,2,101,Lepanthes caritensis,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling
2,2,101,Lepanthes caritensis,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling
2,2,101,Lepanthes caritensis,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead
3,3,201,Lepanthes caritensis,201,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
3,3,201,Lepanthes caritensis,202,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
3,3,201,Lepanthes caritensis,203,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
3,3,201,Lepanthes caritensis,204,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
3,3,201,Lepanthes caritensis,205,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
3,3,201,Lepanthes caritensis,206,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
3,3,201,Lepanthes caritensis,207,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
3,3,201,Lepanthes caritensis,208,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
3,3,201,Lepanthes caritensis,209,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
3,3,201,Lepanthes caritensis,210,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
3,3,201,Lepanthes caritensis,211,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead
3,3,201,Lepanthes caritensis,212,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
3,3,201,Lepanthes caritensis,213,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
3,3,201,Lepanthes caritensis,214,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
3,3,201,Lepanthes caritensis,215,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
3,3,201,Lepanthes caritensis,216,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
3,3,201,Lepanthes caritensis,217,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
3,3,201,Lepanthes caritensis,218,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
3,3,201,Lepanthes caritensis,219,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
3,3,201,Lepanthes caritensis,220,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
3,3,201,Lepanthes caritensis,221,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
3,3,201,Lepanthes caritensis,222,Adult,Adult,Adult,Adult,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
3,3,201,Lepanthes caritensis,223,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
